Level 1,Level 2,Level 3,KO,ID
Metabolism,Biosynthesis,Amino acid metabolism,K01251,YER043C
Metabolism,Biosynthesis,Amino acid metabolism,K00789,YLR180W
Metabolism,Biosynthesis,Amino acid metabolism,K00789,YDR502C
Metabolism,Biosynthesis,Amino acid metabolism,K00547,YPL273W
Metabolism,Biosynthesis,Amino acid metabolism,K00831,YOR184W
Metabolism,Biosynthesis,Amino acid metabolism,K01079,YGR208W
Metabolism,Biosynthesis,Amino acid metabolism,K00058,YER081W
Metabolism,Biosynthesis,Amino acid metabolism,K00058,YIL074C
Metabolism,Biosynthesis,Amino acid metabolism,K00599,YCL054W
Metabolism,Biosynthesis,Amino acid metabolism,K01423,YJR010C-A
Metabolism,Biosynthesis,Amino acid metabolism,K01581,YKL184W
Metabolism,Biosynthesis,Amino acid metabolism,K01611,YOL052C
Metabolism,Biosynthesis,Amino acid metabolism,K00797,YPR069C
Metabolism,Biosynthesis,Amino acid metabolism,K00802,YLR146C
Metabolism,Biosynthesis,Amino acid metabolism,K01739,YJR130C
Metabolism,Biosynthesis,Amino acid metabolism,K01760,YGL184C
Metabolism,Biosynthesis,Amino acid metabolism,K15918,YGR205W
Metabolism,Biosynthesis,Amino acid metabolism,K00872,YHR025W
Metabolism,Biosynthesis,Amino acid metabolism,K01733,YCR053W
Metabolism,Biosynthesis,Amino acid metabolism,K01817,YDR007W
Metabolism,Biosynthesis,Amino acid metabolism,K01657,YER090W
Metabolism,Biosynthesis,Amino acid metabolism,K01656,YKL211C
Metabolism,Biosynthesis,Amino acid metabolism,K00766,YDR354W
Metabolism,Biosynthesis,Amino acid metabolism,K01695,YGL026C
Metabolism,Biosynthesis,Amino acid metabolism,K00211,YBR166C
Metabolism,Biosynthesis,Amino acid metabolism,K09880,YEL038W
Metabolism,Biosynthesis,Amino acid metabolism,K00680,YJL218W
Metabolism,Biosynthesis,Amino acid metabolism,K00459,YJR149W
Metabolism,Biosynthesis,Amino acid metabolism,K08968,YKL069W
Metabolism,Biosynthesis,Amino acid metabolism,K01739,YLL058W
Metabolism,Biosynthesis,Amino acid metabolism,K01739,YML082W
Genetic Information Processing,Transcription,Basal transcription factors,K06634,YPR025C
Genetic Information Processing,Transcription,Basal transcription factors,K03133,YDL166C
Genetic Information Processing,Transcription,Basal transcription factors,K02202,YDL108W
Genetic Information Processing,Transcription,Basal transcription factors,K10844,YER171W
Genetic Information Processing,Transcription,Basal transcription factors,K03120,YER148W
Genetic Information Processing,Transcription,Basal transcription factors,K03142,YLR005W
Genetic Information Processing,Transcription,Basal transcription factors,K10843,YIL143C
Genetic Information Processing,Transcription,Basal transcription factors,K03124,YPR086W
Genetic Information Processing,Transcription,Basal transcription factors,K03125,YGR274C
Genetic Information Processing,Transcription,Basal transcription factors,K03134,YDR167W
Genetic Information Processing,Transcription,Basal transcription factors,K03135,YML015C
Genetic Information Processing,Transcription,Basal transcription factors,K03126,YDR145W
Genetic Information Processing,Transcription,Basal transcription factors,K03127,YML098W
Genetic Information Processing,Transcription,Basal transcription factors,K03140,YPL129W
Genetic Information Processing,Transcription,Basal transcription factors,K03128,YCR042C
Genetic Information Processing,Transcription,Basal transcription factors,K14650,YPL011C
Genetic Information Processing,Transcription,Basal transcription factors,K03130,YBR198C
Genetic Information Processing,Transcription,Basal transcription factors,K03131,YGL112C
Genetic Information Processing,Transcription,Basal transcription factors,K03132,YMR227C
Genetic Information Processing,Transcription,Basal transcription factors,K14649,YML114C
Genetic Information Processing,Transcription,Basal transcription factors,K03133,YMR236W
Genetic Information Processing,Transcription,Basal transcription factors,K03136,YKL028W
Genetic Information Processing,Transcription,Basal transcription factors,K03137,YKR062W
Genetic Information Processing,Transcription,Basal transcription factors,K03141,YDR311W
Genetic Information Processing,Transcription,Basal transcription factors,K03144,YPL122C
Genetic Information Processing,Transcription,Basal transcription factors,K10842,YDR460W
Genetic Information Processing,Transcription,Basal transcription factors,K03143,YPR056W
Genetic Information Processing,Transcription,Basal transcription factors,K10845,YDR079C-A
Genetic Information Processing,Transcription,Basal transcription factors,K03138,YGR186W
Genetic Information Processing,Transcription,Basal transcription factors,K03139,YGR005C
Genetic Information Processing,Transcription,Basal transcription factors,K03122,YOR194C
Genetic Information Processing,Transcription,Basal transcription factors,K03123,YKL058W
Genetic Information Processing,DNA Maintenance,Base excision repair,K10771,YKL114C
Genetic Information Processing,DNA Maintenance,Base excision repair,K10772,YBL019W
Genetic Information Processing,DNA Maintenance,Base excision repair,K01247,YER142C
Genetic Information Processing,DNA Maintenance,Base excision repair,K10773,YAL015C
Genetic Information Processing,DNA Maintenance,Base excision repair,K10773,YOL043C
Genetic Information Processing,DNA Maintenance,Base excision repair,K03660,YML060W
Genetic Information Processing,DNA Maintenance,Base excision repair,K03648,YML021C
Metabolism,Biosynthesis,Biosynthesis of other secondary metabolites,K14817,YFR001W
Metabolism,Biosynthesis,Biosynthesis of other secondary metabolites,K12468,YDR538W
Metabolism,Biosynthesis,Biosynthesis of other secondary metabolites,K01066,YKL140W
Metabolism,Central Carbon Metabolism,Butanoate metabolism,K00004,YAL060W
Metabolism,Central Carbon Metabolism,Butanoate metabolism,K00004,YAL061W
Metabolism,Central Carbon Metabolism,Butanoate metabolism,K01641,YML126C
Metabolism,Central Carbon Metabolism,Butanoate metabolism,K13524,YGR019W
Environmental Information Processing,Signal Transduction,Calcium signaling pathway,K02183,YBR109C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YJR155W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YNL331C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YCR107W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YDL243C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YFL056C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00328,YDR173C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01194,YPR026W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01183,YDR371W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01210,YDR261C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00900,YJL155C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00706,YLR342W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00706,YMR306W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YKR009C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01187,YJL221C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00849,YBR020W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01784,YBR019C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00849,YDR009W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00965,YBR018C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YOR120W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01196,YPR184W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00700,YEL011W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00688,YPR160W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00011,YHR104W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00706,YGR032W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00693,YFR015C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00693,YLR258W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01187,YOL157C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01858,YJL153C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K05310,YJL062W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01187,YGR292W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01187,YBR299W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01230,YLR057W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01230,YJR131W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01194,YDR001C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01194,YBR001C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00900,YIL107C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00900,YOL136C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01184,YJR153W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01809,YER003C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00966,YDL055C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01840,YFL045C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00008,YJR159W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00008,YDL246C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01210,YOR190W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01193,YIL162W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00697,YBR126C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00697,YDR074W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00697,YMR261C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00697,YML100W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00963,YKL035W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00854,YGR194C
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01127,YJL132W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K01103,YLR345W
Metabolism,Central Carbon Metabolism,Carbohydrate metabolism,K00100,YDR368W
Metabolism,Energy Metabolism,Carbon fixation in photosynthetic organisms,K00814,YLR089C
Metabolism,Energy Metabolism,Carbon fixation in photosynthetic organisms,K00814,YDR111C
Cellular Processes,Cell Growth and Death,Cell cycle,K02181,YJR053W
Cellular Processes,Cell Growth and Death,Cell cycle,K06630,YER177W
Cellular Processes,Cell Growth and Death,Cell cycle,K06630,YDR099W
Cellular Processes,Cell Growth and Death,Cell cycle,K06667,YFL029C
Cellular Processes,Cell Growth and Death,Cell cycle,K06639,YFR028C
Cellular Processes,Cell Growth and Death,Cell cycle,K06683,YAR019C
Cellular Processes,Cell Growth and Death,Cell cycle,K04563,YBR160W
Cellular Processes,Cell Growth and Death,Cell cycle,K06660,YMR001C
Cellular Processes,Cell Growth and Death,Cell cycle,K02219,YBR135W
Cellular Processes,Cell Growth and Death,Cell cycle,K02220,YGR108W
Cellular Processes,Cell Growth and Death,Cell cycle,K02220,YPR119W
Cellular Processes,Cell Growth and Death,Cell cycle,K06665,YBR112C
Cellular Processes,Cell Growth and Death,Cell cycle,K06684,YGR092W
Cellular Processes,Cell Growth and Death,Cell cycle,K06686,YPR111W
Cellular Processes,Cell Growth and Death,Cell cycle,K12577,YDR110W
Cellular Processes,Cell Growth and Death,Cell cycle,K06668,YDR507C
Cellular Processes,Cell Growth and Death,Cell cycle,K02515,YKL101W
Cellular Processes,Cell Growth and Death,Cell cycle,K12578,YDR499W
Cellular Processes,Cell Growth and Death,Cell cycle,K06681,YAL024C
Cellular Processes,Cell Growth and Death,Cell cycle,K06680,YJL013C
Cellular Processes,Cell Growth and Death,Cell cycle,K06647,YDL056W
Cellular Processes,Cell Growth and Death,Cell cycle,K06687,YJL076W
Cellular Processes,Cell Growth and Death,Cell cycle,K02627,YDR113C
Cellular Processes,Cell Growth and Death,Cell cycle,K06653,YGR233C
Cellular Processes,Cell Growth and Death,Cell cycle,K06655,YPL031C
Cellular Processes,Cell Growth and Death,Cell cycle,K03085,YLR079W
Cellular Processes,Cell Growth and Death,Cell cycle,K12575,YOR195W
Cellular Processes,Cell Growth and Death,Cell cycle,K12576,YHR152W
Cellular Processes,Cell Growth and Death,Cell cycle,K12414,YJR046W
Cellular Processes,Cell Growth and Death,Cell cycle,K06682,YML064C
Cellular Processes,Cell Growth and Death,Cell cycle,K06666,YCR084C
Cellular Processes,Cell Growth and Death,Cell cycle,sce_YOR230W,YOR230W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR040C,YLR040C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNR044W,YNR044W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YHR126C,YHR126C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YGR282C,YGR282C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR110C,YLR110C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR390W-A,YLR390W-A
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJL158C,YJL158C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YGR189C,YGR189C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR286C,YLR286C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKL096W,YKL096W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKL096W-A,YKL096W-A
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJR150C,YJR150C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJR151C,YJR151C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YHR143W,YHR143W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNR067C,YNR067C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YBR078W,YBR078W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNL327W,YNL327W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR300W,YLR300W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YCR089W,YCR089W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YDR534C,YDR534C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR382W,YOR382W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR383C,YOR383C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YAR050W,YAR050W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKR102W,YKR102W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YHR211W,YHR211W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YAL063C,YAL063C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YMR307W,YMR307W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YMR215W,YMR215W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOL030W,YOL030W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOL155C,YOL155C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJL159W,YJL159W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YDL049C,YDL049C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNL322C,YNL322C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJL174W,YJL174W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YIR019C,YIR019C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YLR037C,YLR037C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YBR301W,YBR301W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKL164C,YKL164C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKL163W,YKL163W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJL160C,YJL160C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YMR006C,YMR006C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJL078C,YJL078C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YDR055W,YDR055W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YJR004C,YJR004C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YMR305C,YMR305C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YGL028C,YGL028C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YGR279C,YGR279C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YDR077W,YDR077W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YIL123W,YIL123W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YER150W,YER150W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YPL130W,YPL130W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR214C,YOR214C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR247W,YOR247W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNL066W,YNL066W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YBR067C,YBR067C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YER011W,YER011W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR010C,YOR010C
Cellular Processes,Cell Growth and Death,Cell wall,sce_YIL011W,YIL011W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YOR009W,YOR009W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YNL300W,YNL300W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YKR042W,YKR042W
Cellular Processes,Cell Growth and Death,Cell wall,sce_YEL040W,YEL040W
Environmental Information Processing,Signaling Molecules and Interaction,Cellular antigens,K05658,YKL209C
Environmental Information Processing,Signaling Molecules and Interaction,Cellular antigens,K01510,YER005W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K08956,YER017C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09494,YIL142W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09495,YJL014W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09496,YDL143W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09497,YJR064W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09498,YDR188W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09499,YJL111W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09500,YJL008C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09554,YDR168W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K08054,YAL058W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K03770,YDR304C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K05864,YLR216C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K13996,YIL005W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09578,YJR017C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09580,YDR518W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09568,YNL135C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09569,YDR519W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09550,YNL153C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09549,YEL003W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04797,YML094W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K07390,YPL059W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09518,YMR161W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04079,YMR186W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04078,YOR020C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,sce_YFL014W,YFL014W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K13993,YBR072W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K13993,YDR171W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04077,YLR259C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04079,YPL240C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K04082,YGL018C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09523,YJL073W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09490,YJL034W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K01341,YNL238W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09486,YKL073W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K03544,YBR227C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K03687,YOR232W
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K06009,YDR144C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09584,YOR288C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09539,YLR008C
Genetic Information Processing,"Folding, Sorting and Degradation",Chaperones and folding catalysts,K09580,YCL043C
